# en	cn	en_ids	support	prec	level
T-5 Perpetual Motion Machine	第五类永动机	1	1	1.000	ok
Sorrowful Exhale	悲闷的吐息	1	1	1.000	ok
Shatterbound Cannon	注定破碎的火炮	1	1	1.000	ok
Coveting Thorn	贪欲之棘	1	1	1.000	ok
Meat Tenderizer+	松肉锤+	2	2	1.000	ok
Chance & Choice	概率与选择	2	2	1.000	ok
Miniature Ferris Wheel	微型摩天轮	1	1	1.000	ok
Searing Hammer	灼热之锤	1	1	1.000	ok
Red Necktie	红领带	1	1	1.000	ok
Someone's Device	某人的终端	1	1	1.000	ok
Providence of the Prescript	指令的庇护	1	1	1.000	ok
Omni-tool+	万能工具+	2	2	1.000	ok
Stolen Fixer Magazine	被盗的收尾人杂志	1	1	1.000	ok
Pure-white Canvas	空白画布	1	1	1.000	ok
The Spider's Thread+	蜘蛛网+	2	2	1.000	ok
Someone's Azure Blade	某人的青刀	1	1	1.000	ok
Imperfect Eye of Precognition	不完善的预知眼	1	1	1.000	ok
The Abandoned Oracle	遗落的神谕	1	1	1.000	ok
A Maestro's Ring-Turned-Artwork	化为作品的大师指环	1	1	1.000	ok
Mid-range K Corp. Ampule	量产型K公司安瓿	1	1	1.000	ok
Burning Fate	燃烧的命运	1	1	1.000	ok
Carousel Figurine	旋转木马模型	1	1	1.000	ok
Another Round!	再来一杯！	1	1	1.000	ok
Spiderweb Entangled in Red	赤红纠缠的蜘蛛巢	1	1	1.000	ok
Baekja Water Dropper	白瓷砚滴	1	1	1.000	ok
Flagroot Cane Sword	菖蒲剑	1	1	1.000	ok
Crushed Wooden Manacle	粉碎的木制刑具	1	1	1.000	ok
Unadorned Sword-guard	无纹的刀镡	1	1	1.000	ok
Wing-shaped Waxen Candle	翼形蜡烛	1	1	1.000	ok
Tributary Cigar	奉纳的雪茄	1	1	1.000	ok
Reverse Knot	反向结	1	1	1.000	ok
Melted LCCB Employee Badge	融化的LCCB员工证	1	1	1.000	ok
Crossed Knot	十字结	1	1	1.000	ok
Compulsive's Knot	强迫结	1	1	1.000	ok
Standard Issue Mag	补给弹匣	1	1	1.000	ok
La Manchaland Standard Pass	拉·曼却领常规通行券	1	1	1.000	ok
Self-flagellation Whip	告解之鞭	1	1	1.000	ok
A Little Dream	小小的梦	1	1	1.000	ok
The Dream Begins Anew	再一次做的梦	1	1	1.000	ok
Shoddy Dressing	破旧绷带	1	1	1.000	ok
Festered Fragment	腐烂碎片	1	1	1.000	ok
Etched Doomsday	终末浮雕	1	1	1.000	ok
Rainbow Mainspring	彩色发条	1	1	1.000	ok
Rusty Mainspring	生锈发条	1	1	1.000	ok
Emergency Surgical Kit	紧急手术套件	1	1	1.000	ok
Writhing Ribbon	蠢蠢欲动的丝带	1	1	1.000	ok
Torch Stack	一堆火把	1	1	1.000	ok
Sparkling Skull	发光颅骨	1	1	1.000	ok
Sniggering Tongue	窃笑的舌头	1	1	1.000	ok
Green Skin	绿色外皮	1	1	1.000	ok
Topfhelm	钢盔	1	1	1.000	ok
Piece of Crumbled Egg	破碎之卵的残片	1	1	1.000	ok
Cold Illusion	冰冷的幻想	1	1	1.000	ok
Sharp Illusion	尖锐的幻想	1	1	1.000	ok
Fragrant Illusion	芬芳的幻想	1	1	1.000	ok
Trace of Stars	星迹	1	1	1.000	ok
Pungent Bud	香气刺鼻的花蕾	1	1	1.000	ok
Hot Tears	热烈的泪水	1	1	1.000	ok
Cooled Tear	冰冷的泪水	1	1	1.000	ok
Memories of Fragments	碎片的记忆	1	1	1.000	ok
Piece of Reversing Memories	追忆流转的残片	1	1	1.000	ok
Universal Skeleton	万物的骨架	1	1	1.000	ok
The Middle Styled Knuckle-dusters	中指式指虎	1	1	1.000	ok
Unoccupied Birdcage	空荡的鸟笼	1	1	1.000	ok
Searing Brass+	灼热的铜管+	2	2	1.000	ok
Universal Instinct	万物的本能	1	1	1.000	ok
Heavenly King's Heartmending Pill	天王补心丹	1	1	1.000	ok
Tranquil Lotus Bolus	静莲丸	1	1	1.000	ok
Sanguine Blossom Bolus	血花丸	1	1	1.000	ok
Accursed Codex	被诅咒的古代文书	1	1	1.000	ok
Madness-inscribed Codex	寄宿疯狂的古代文书	1	1	1.000	ok
Heartrender Talisman	破心符	1	1	1.000	ok
Bloodsevering Blade	绝血刀	1	1	1.000	ok
Faded Poster	褪色的海报	1	1	1.000	ok
Deep Claw Marks	深深的爪痕	1	1	1.000	ok
Blackiron Barding	黑铁马胄	1	1	1.000	ok
Shaoxing Wine+	绍兴酒+	2	2	1.000	ok
The Family's Resentment	家人的怨恨	1	1	1.000	ok
For the Capo	为了指挥官	1	1	1.000	ok
Rules of the Middle	中指规矩	1	1	1.000	ok
Kkomi's Mini-Gift	可米的小小礼物	1	1	1.000	ok
Someone's Dropped Employee Card	某人遗落的员工证	1	1	1.000	ok
Boombox of Dramatic Entrances	登场专用音响	1	1	1.000	ok
Shadowlurking	暗中行动	1	1	1.000	ok
Sea Terror Notes	恐鱼研究记录	1	1	1.000	ok
Goldforged Compass	黄金罗盘	1	1	1.000	ok
Silver Key Bundle	银色的钥匙串	1	1	1.000	ok
Sea Terror Jerky	恐鱼干	1	1	1.000	ok
Aged Sheet Music	古旧乐谱残章	1	1	1.000	ok
Metal Construct	金属构造体	1	1	1.000	ok
Moonmirror Wine Cup	宿月酒盏	1	1	1.000	ok
Classical-design Letter Opener	造型古典的拆信刀	1	1	1.000	ok
Interlinked Time+	交织的时间+	2	2	1.000	ok
Emergency Investigator Badge+	紧急授予型搜查官徽章+	2	2	1.000	ok
Entanglement Override Sequencer+	强制纠缠定序器+	2	2	1.000	ok
Microprecision Time Accelerator	超精密时间加速装置	1	1	1.000	ok
Filial Love	孝心	1	1	1.000	ok
Misaligned Transistor	错位的晶体管	1	1	1.000	ok
Mental Corruption Boosting Gas	精神污染加速气体	1	1	1.000	ok
Leaked Enkephalin	泄露的脑啡肽	1	1	1.000	ok
The Unchosen	未被选中之人	1	1	1.000	ok
Magical Girl's Lovely Gift	魔法少女的爱之礼物	1	1	1.000	ok
Value Disposal	价值处置	1	1	1.000	ok
Staticky Two-way Radio	夹杂着噪音的对讲机	1	1	1.000	ok
Beak-shaped Necklace	喙形项链	1	1	1.000	ok
Harmonics+	泛音+	2	2	1.000	ok
Walking Bass+	行进贝斯+	2	2	1.000	ok
Pink Bouquet	粉红花束	1	1	1.000	ok
Royal Jelly Perfume	蜂王浆香水	1	1	1.000	ok
Whale of the Porous Hand Mermaid	穴掌鲸人鱼	2	2	1.000	ok
Whale of the Porous Hand Soldier Mermaid	穴掌鲸 士兵人鱼	2	2	1.000	ok
Twinhook Pirates First Mate Smee	双钩海盗团大副 斯米	2	2	1.000	ok
Terrified K Corp. Checkpoint Security	惊恐的K公司检查站安保人员	2	2	1.000	ok
Stiffened K Corp. Checkpoint Security	僵直的K公司检查站安保人员	2	2	1.000	ok
Threatened K Corp. Class 1 Staff	受到威胁的K公司1级员工	2	2	1.000	ok
Unnerved K Corp. Class 1 Staff	焦虑的K公司1级员工	2	2	1.000	ok
Revived K Corp. Class 3 Empowered Staff	复活的K公司3级员工 - 强化	2	2	1.000	ok
Whale of the Thousand Strands Mermaid	千缕鲸人鱼	2	2	1.000	ok
Hefty Dead Rabbits Henchman	健硕的死兔帮成员	1	1	1.000	ok
Slow Dead Rabbits Henchman	迟缓的死兔帮成员	1	1	1.000	ok
Fierce Dead Rabbits Henchman	凶猛的死兔帮成员	1	1	1.000	ok
Sharp Dead Rabbits Henchman	敏锐的死兔帮成员	1	1	1.000	ok
Enamored Researcher of the Ring?	忘我的环指研究员？	2	2	1.000	ok
Mad Researcher of the Ring?	发狂的环指研究员？	2	2	1.000	ok
Pointillist Researcher of the Ring?	点彩派环指研究员？	2	2	1.000	ok
Peccatulum Irae??	暴怒罪种??	2	2	1.000	ok
Well-dressed Bloodbag	穿着得体的血袋	1	1	1.000	ok
Embellished Bloodbag	打扮过的血袋	1	1	1.000	ok
Insane Fashionista Bloodfiend	疯狂的时尚血魔	1	1	1.000	ok
Mad Fashionista Bloodfiend	失去理智的时尚血魔	1	1	1.000	ok
No-good Bandit	坏盗贼	2	1	0.500	suspect
Big, Scary Bear	可怕的巨熊	3	1	0.333	suspect
Eerie Bloodbag	阴森森的血袋	1	1	1.000	ok
Sinister Bloodbag	可怖的血袋	1	1	1.000	ok
Budding Bloodbag	发芽的血袋	1	1	1.000	ok
Budding Zwei Fixer	发芽的Zwei收尾人	1	1	1.000	ok
Budding Bloodfiend	盛开的血魔	1	1	1.000	ok
Blossomed Bloodfiend	绽放的血魔	1	1	1.000	ok
Bloomed Bloodfiend	盛放的血魔	1	1	1.000	ok
Peccatulum Luxuriae?	色欲罪种?	2	2	1.000	ok
Peccatulum Superbiae?	傲慢罪种?	2	2	1.000	ok
Budding Cinq West Fixer	发芽的Cinq西部收尾人	1	1	1.000	ok
Budding Zwei West Fixer	发芽的Zwei西部收尾人	1	1	1.000	ok
The Wheel of La Manchaland	大摩天轮	1	1	1.000	ok
Dreamshard	梦之碎片	1	1	1.000	ok
Hardblood Fragment	硬血碎片	1	1	1.000	ok
Talisman Jar Monster	贴着符咒的瓮怪物	1	1	1.000	ok
Nailed Jar Monster	被钉住的瓮怪物	1	1	1.000	ok
Entangled Jar Monster	被束缚的瓮怪物	1	1	1.000	ok
Furtive Podao Assailant	隐秘的朴刀袭击者	1	1	1.000	ok
Swift Podao Assailant	敏捷的朴刀袭击者	1	1	1.000	ok
Large Podao Assailant	魁梧的朴刀袭击者	1	1	1.000	ok
Bandaged Wooden Dummy	裹着绷带的木人桩	1	1	1.000	ok
Spiked Wooden Dummy	带刺的木人桩	1	1	1.000	ok
Swift Ambushing Stranger	敏捷突袭的怪人	1	1	1.000	ok
Swift Pursuing Stranger	敏捷追击的怪人	1	1	1.000	ok
Impaled Failure	被穿刺的失败品	1	1	1.000	ok
Blooming Failure	盛开的失败品	1	1	1.000	ok
Entangled Failure	纠缠的失败品	1	1	1.000	ok
Evil-possessed Deathrite Monk	饱含邪气的咒杀僧	1	1	1.000	ok
Swift Shi Family Mercenary	灵敏的史家私兵	1	1	1.000	ok
Veteran Shi Family Mercenary	干练的史家私兵	1	1	1.000	ok
Heavy Shi Family Mercenary	稳重的史家私兵	1	1	1.000	ok
Shi Hua... something?	史华？	2	2	1.000	ok
Muddled Heishou of the Corpse Palanquin [混覺轀輬黑獸]	混觉辒辌黑兽	1	1	1.000	ok
Heavenly Elder	天之长辈	1	1	1.000	ok
Earthly Elder	地之长辈	1	1	1.000	ok
Brain Elder	脑之长辈	1	1	1.000	ok
Manager Gnome	科长小矮人	1	1	1.000	ok
Peccatulum Pigritiae??	怠惰罪种??	2	2	1.000	ok
Peccatulum Morositatis??	忧郁罪种??	2	2	1.000	ok
The Ring Corporist Automanikin - Researcher	环指人体派自动人偶 - 研究员	2	2	1.000	ok
The Ring Corporist Automanikin - Combatant	环指人体派自动人偶 - 战斗员	2	2	1.000	ok
The Ring Corporist Automanikin - Roseate Desire Corrosion	环指人体派自动人偶 - 粉红欲望 侵蚀	2	2	1.000	ok
The Pinky Apprentice - Ren	小指 子辈 - 莲	2	2	1.000	ok
The Index Apprentice - Sora	食指 子辈 - 空	2	2	1.000	ok
Flash Phenomenon - Im Gyeong-eop	闪光现象 - 林庆业	2	2	1.000	ok
Hateful Blade Lineage Salsu	心怀怨恨的剑契组杀手	1	1	1.000	ok
Resentful Blade Lineage Salsu	寄宿怨恨的剑契组杀手	1	1	1.000	ok
Imagined Im Gyeong-eop	心象中的林庆业	1	1	1.000	ok
Craving Bloodbag Passenger	渴求的血袋乘客	1	1	1.000	ok
Violent Bloodbag Passenger	发狂的血袋乘客	1	1	1.000	ok
Aggressive Bloodbag Passenger	好斗的血袋乘客	1	1	1.000	ok
Merciless Bloodbag Cleanup Agent	无情的血袋清扫人员	1	1	1.000	ok
Feral Bloodbag Cleanup Agent	凶猛的血袋清扫人员	1	1	1.000	ok
Hungering Bloodbag Cleanup Agent	饥饿的血袋清扫人员	1	1	1.000	ok
Bloodbag Prosthetic Fixer	血袋义体收尾人	1	1	1.000	ok
Deceitful Tri-axe Office Fixer	卑鄙的三斧事务所收尾人	1	1	1.000	ok
Tough-looking Stranger	表情坚毅的怪人	1	1	1.000	ok
Awkward Tri-axe Office Fixer	左右为难的三斧事务所收尾人	1	1	1.000	ok
Sharp-looking Stranger	表情犀利的怪人	1	1	1.000	ok
The City's Sweeper A	都市的清道夫A	1	1	1.000	ok
The City's Sweeper B	都市的清道夫B	1	1	1.000	ok
The City's Sweeper C	都市的清道夫C	1	1	1.000	ok
The City's Sweeper D	都市的清道夫D	1	1	1.000	ok
Aggressive Yurodivy	过激的圣愚活动成员	1	1	1.000	ok
Quick-witted Yurodivy	敏捷的圣愚活动成员	1	1	1.000	ok
District 20 Yurodiviye Captain	20区 圣愚 队长	1	1	1.000	ok
Unfolded Time Rippers	展开的时间杀人魔们	1	1	1.000	ok
Prescript-chasing Proselyte of the Index	追随指令的食指苦行者	2	2	1.000	ok
Prescript-conforming Proselyte of the Index	遵从指令的食指苦行者	2	2	1.000	ok
Impulsive Fauvist Student of the Ring	冲动的环指野兽派学徒	2	2	1.000	ok
Instinctive Fauvist Student of the Ring	依照本能的环指野兽派学徒	2	2	1.000	ok
Feral Fauvist Student of the Ring	充满野性的环指野兽派学徒	2	2	1.000	ok
Spontaneous Fauvist Student of the Ring	即兴的环指野兽派学徒	2	2	1.000	ok
Dawn of Green - Doubt - α	绿色的黎明 - 疑问 - α	2	2	1.000	ok
Dawn of Green - Doubt - β	绿色的黎明 - 疑问 - β	2	2	1.000	ok
Threatening Gear Worshipper	危险的齿轮信徒	1	1	1.000	ok
Nimble Gear Worshipper	敏捷的齿轮信徒	1	1	1.000	ok
Da Boingy Empworoar	凤凤皇地	1	1	1.000	ok
False Bongy	假小凤	1	1	1.000	ok
Distorting Bamboo-hatted Kim	正在扭曲的金笠	1	1	1.000	ok
Scruffy Veteran	褴褛的残兵	1	1	1.000	ok
Slumber-broken Neighbor	长梦初醒的邻居	1	1	1.000	ok
Rearisen Neighbor	重新站起的邻居	1	1	1.000	ok
Freezing Miner Slave	冻结的奴隶矿工	1	1	1.000	ok
Shivering Miner Slave	寒冷的奴隶矿工	1	1	1.000	ok
Everything There of an Inquisitor	无所不有的异端审判官	2	2	1.000	ok
Crawling Inquisitor	爬行的异端审判官	1	1	1.000	ok
Calm K Corp. Checkpoint Security	沉着的K公司检查站安保人员	2	2	1.000	ok
Reliable K Corp. Checkpoint Security	可靠的K公司检查站安保人员	2	2	1.000	ok
Wriggling Beast	蠢蠢欲动的野兽	1	1	1.000	ok
Dongbaek E.G.O::Spicebush	冬柏E.G.O::山茶花	2	2	1.000	ok
Crude Sawblade Bot	粗制的锯刃无人机	1	1	1.000	ok
Crude Wrecking Ball Bot	粗制的破坏球无人机	1	1	1.000	ok
Complete Sawblade Bot	完整的锯刃无人机	1	1	1.000	ok
Complete Wrecking Ball Bot	完整的破坏球无人机	1	1	1.000	ok
Solid Combined Bot	坚固的复合机械	1	1	1.000	ok
Confident Rosespanner Workshop Fixer	自信的玫瑰扳手工坊收尾人	1	1	1.000	ok
Prideful Rosespanner Workshop Fixer	高傲的玫瑰扳手工坊收尾人	1	1	1.000	ok
Shaking Rosespanner Workshop Fixer	颤抖的玫瑰扳手工坊收尾人	1	1	1.000	ok
Rosespanner Workshop Rep Niko	玫瑰扳手工坊代表 尼柯	1	1	1.000	ok
Lobotomy E.G.O::Red Sheet - Marile	脑叶公司E.G.O::朱符 - 马里勒	2	2	1.000	ok
Reawakened Lobotomy E.G.O::Red Sheet	复活的脑叶公司E.G.O::朱符	2	2	1.000	ok
K Corp. Arrest Drone	K公司 拘捕无人机	1	1	1.000	ok
Fully Bloomed Flower	盛开的花朵	1	1	1.000	ok
Tree of Vanity	虚荣之树	1	1	1.000	ok
Fruit of Vanity	虚荣之果	1	1	1.000	ok
Lured Festered G Corp. H. Manager	受诱且溃烂的G公司部长	2	2	1.000	ok
Refracted Alleyway Watchdog	折射的巷头恶犬	1	1	1.000	ok
Refracted Headless Ichthys	折射的断首鱼	1	1	1.000	ok
Refracted Drifting Fox	折射的流浪狐狸	1	1	1.000	ok
Refracted Old Umbrella	折射的旧伞	1	1	1.000	ok
Refracted Shock Centipede	折射的电击蜈蚣	1	1	1.000	ok
Refracted Fairy-Long-Legs	折射的长腿精灵	1	1	1.000	ok
Refracted Faelantern	折射的精灵提灯	1	1	1.000	ok
Refracted Wayward Passenger	折射的迷失的乘客	1	1	1.000	ok
Left Blade	左刃	1	1	1.000	ok
Right Blade	右刃	1	1	1.000	ok
Refracted Steam Transport Machine	折射的蒸汽运输机	1	1	1.000	ok
Refracted Sign of Roses	折射的玫瑰告示牌	1	1	1.000	ok
Refracted Hemorrhaging Dimension	折射的血流成河的次元	1	1	1.000	ok
Refracted Poisonous Dimension	折射的剧毒沸腾的次元	1	1	1.000	ok
Refracted Tremoring Dimension	折射的震颤不止的次元	1	1	1.000	ok
Refracted Electrifying Dimension	折射的电流涌动的次元	1	1	1.000	ok
Refracted Wrath-drenched Rose	折射的浸染暴怒的玫瑰	1	1	1.000	ok
Refracted Lust-drenched Rose	折射的浸染色欲的玫瑰	1	1	1.000	ok
Refracted Sloth-drenched Rose	折射的浸染怠惰的玫瑰	1	1	1.000	ok
Refracted Gluttony-drenched Rose	折射的浸染暴食的玫瑰	1	1	1.000	ok
Refracted Gloom-drenched Rose	折射的浸染忧郁的玫瑰	1	1	1.000	ok
Refracted Pride-drenched Rose	折射的浸染傲慢的玫瑰	1	1	1.000	ok
Refracted Envy-drenched Rose	折射的浸染嫉妒的玫瑰	1	1	1.000	ok
Refracted Ardor Blossom Moth	折射的红焰蛾	1	1	1.000	ok
Refracted Drenched Gossypium	折射的浸染棉花	1	1	1.000	ok
Refracted Spiral of Contempt	折射的轻蔑螺旋	1	1	1.000	ok
Refracted Skin Prophet	折射的人皮预言者	1	1	1.000	ok
Refracted Candle	折射的蜡烛	1	1	1.000	ok
Refracted Ambling Pearl	折射的陆行珍珠	1	1	1.000	ok
Refracted Green Slime	折射的绿色黏液	1	1	1.000	ok
Refracted Dream-Devouring Siltcurrent	折射的噬梦的浊流	1	1	1.000	ok
Refracted Flotsam	折射的漂流物	1	1	1.000	ok
Refracted Ahab	折射的亚哈	1	1	1.000	ok
Refracted Queequeg	折射的魁魁格	1	1	1.000	ok
Refracted Starbuck	折射的斯达巴克	1	1	1.000	ok
Refracted Blinded Pequod Town Villager	折射的被蒙住双眼的裴廓德镇居民	2	2	1.000	ok
Refracted Gagged Pequod Town Villager	折射的被堵上嘴的裴廓德镇居民	2	2	1.000	ok
Refracted Moustachioed Twinhooks Pirate	折射的留胡子的双钩海盗团成员	1	1	1.000	ok
Refracted Bandana-wearing Twinhooks Pirate	折射的戴头巾的双钩海盗团成员	1	1	1.000	ok
Refracted Agile Twinhooks Pirate	折射的敏捷的双钩海盗团成员	1	1	1.000	ok
Refracted Tough Twinhooks Pirate	折射的坚实的双钩海盗团成员	1	1	1.000	ok
Refracted Pallidified Thing-Shield	折射的苍白之物-盾	1	1	1.000	ok
Refracted Pallidified Thing-Club	折射的苍白之物-棍棒	1	1	1.000	ok
Refracted Pallidified Thing-Pirate	折射的苍白之物-海盗	1	1	1.000	ok
Refracted Pallidified Thing-Hook	折射的苍白之物-钩	1	1	1.000	ok
Refracted Pallid White Mermaid	折射的苍白的白色人鱼	1	1	1.000	ok
Refracted Pallid Blue Mermaid	折射的苍白的蓝色人鱼	1	1	1.000	ok
Refracted Pallid Entwined Mermaid	折射的苍白的纠缠人鱼	1	1	1.000	ok
Refracted Grasp	折射的掌	1	1	1.000	ok
Refracted Dreaming Electric Sheep	折射的梦中的电子羊	1	1	1.000	ok
Refracted Generator	折射的发电机	1	1	1.000	ok
Refracted Nelly	折射的耐莉	1	1	1.000	ok
Refracted Veteran Edgar Family Butler	折射的资深的埃德加家族管家	2	2	1.000	ok
Refracted Josephine	折射的约瑟芬	1	1	1.000	ok
Refracted Determined Kurokumo Henchman	折射的坚定的黑云会成员	1	1	1.000	ok
Refracted Tense Kurokumo Henchman	折射的紧张的黑云会成员	1	1	1.000	ok
Refracted Adept Kurokumo Henchwoman	折射的娴熟的黑云会成员	1	1	1.000	ok
Refracted Tired Kurokumo Henchwoman	折射的昏昏欲睡的黑云会成员	1	1	1.000	ok
Refracted Hurting Teddy Bear	折射的痛苦泰迪	1	1	1.000	ok
Refracted Rose Hunter	折射的玫瑰猎人	1	1	1.000	ok
Refracted Barbed Lasso	折射的荆棘套索	1	1	1.000	ok
The Refracted Priest	折射的神父	1	1	1.000	ok
Refracted Despairing Bloodbag	折射的绝望的血袋	1	1	1.000	ok
Refracted Disgraced Bloodbag	折射的堕落的血袋	1	1	1.000	ok
Refracted Downcast Veteran	折射的变本加厉的残兵	1	1	1.000	ok
Refracted Flower-burying Pin	折射的葬花针	1	1	1.000	ok
The Refracted Index Nursefather - Rien	折射的食指 父辈 - 里恩	2	2	1.000	ok
[Season 7] Nominable Egoshard Crate	[第7赛季]自我碎片自选箱	1	1	1.000	ok
Identity Takeoff Ticket - ver.3	人格跳跃成长券 - ver.3	2	2	1.000	ok
Nominable S3 Identity Ticket	第3赛季人格自选券	1	1	1.000	ok
Spinchains	解析锁链	1	1	1.000	ok
Kkomi's Gift	可米的礼物	1	1	1.000	ok
Sinnerlings' Chicken-scratch Farewells	字迹稚嫩的寄语	1	1	1.000	ok
[Season 3] Nominable Egoshard Crate	[第3赛季]自我碎片自选箱	2	2	1.000	ok
Nominable S2 Identity Ticket	第2赛季人格自选券	1	1	1.000	ok
Identity Takeoff Ticket - ver.2	人格跳跃成长券 - ver.2	2	2	1.000	ok
Starlight of Immortality	永生的星芒	1	1	1.000	ok
Takeoff Module - E.G.O Spinning [TETH]	跳跃成长模组 - E.G.O解析 [TETH]	2	2	1.000	ok
White Chrysanthemum	白色雏菊	1	1	1.000	ok
Indistinguishable Space	无法确定的空间	1	1	1.000	ok
The Forgotten	被遗忘者们	1	1	1.000	ok
Flat-broke Gamblers	身无分文的赌徒	1	1	1.000	ok
Automated Factory	自动工厂	1	1	1.000	ok
Tearful Things	落泪者们	1	1	1.000	ok
Lake World	湖的世界	1	1	1.000	ok
Crawling Abyss	伏行深渊	1	1	1.000	ok
Dregs of the Manor	宅邸的副产物	1	1	1.000	ok
Repressed Wrath	压抑的暴怒	1	1	1.000	ok
Unbound Wrath	解放的暴怒	1	1	1.000	ok
Emotional Repression	受情感压迫者	1	1	1.000	ok
Addicting Lust	沉迷的色欲	1	1	1.000	ok
Tangling Lust	束缚的色欲	1	1	1.000	ok
Emotional Seduction	因情感困惑者	1	1	1.000	ok
Treadwheel Sloth	空转的怠惰	1	1	1.000	ok
Inert Sloth	停滞的怠惰	1	1	1.000	ok
Emotional Indolence	待情感懒惰者	1	1	1.000	ok
Devoured Gluttony	吞噬的暴食	1	1	1.000	ok
Excessive Gluttony	漫溢的暴食	1	1	1.000	ok
Emotional Craving	对情感饥渴者	1	1	1.000	ok
Degraded Gloom	堕落的忧郁	1	1	1.000	ok
Sunk Gloom	沉溺的忧郁	1	1	1.000	ok
Emotional Flood	于情感沉溺者	1	1	1.000	ok
Vain Pride	虚张声势的傲慢	1	1	1.000	ok
Tyrannical Pride	自以为是的傲慢	1	1	1.000	ok
Emotional Subservience	向情感屈从者	1	1	1.000	ok
Insignificant Envy	寒微的嫉妒	1	1	1.000	ok
Pitiful Envy	凄惨的嫉妒	1	1	1.000	ok
Burning Haze	燃烧的摇曳	1	1	1.000	ok
Season of the Flame	盛火时节	1	1	1.000	ok
Trickled Sanguine Blood	渗出的赤血	1	1	1.000	ok
Dizzying Waves	缭乱的波动	1	1	1.000	ok
Crushing External Force	破坏性外力	1	1	1.000	ok
Sinking Pang	沉于苦痛	1	1	1.000	ok
Poised Breathing	循环呼吸	1	1	1.000	ok
Rising Power Supply	动力渐盈	1	1	1.000	ok
Four Houses and Greed	四大家族与欲念	1	1	1.000	ok
Efflorescing Greenery	绽放的绿林	1	1	1.000	ok
Bridle of Infinity	永劫的枷锁	1	1	1.000	ok
S.E.A. C.R	去·海·边·激·蟹	1	1	1.000	ok
Who Couldn't be Bloodfiends	无法成为血魔的人们	1	1	1.000	ok
Charm, Wander, Doubt	魅惑、彷徨、猜疑	1	1	1.000	ok
Bearers of Weight	身负重担者们	1	1	1.000	ok
Identity Acquired	已获得人格	1	1	1.000	ok
Identity Upgraded	人格升级完毕	1	1	1.000	ok
Will you continue exploration?	要继续探索吗？	1	1	1.000	ok
Daily Pass EXP Bonus	额外通行证经验	1	1	1.000	ok
Enter Mirror World	进入镜像世界	1	1	1.000	ok
Weekly Pass EXP Bonus	周常通行证经验加成	1	1	1.000	ok
Resume Simulation	继续模拟	1	1	1.000	ok
Halt Simulation	终止模拟	1	1	1.000	ok
◆ No Enkephalin Cost	◆ 不会消耗脑啡肽	1	1	1.000	ok
Enhancements Used	可进行人格升级的次数	1	1	1.000	ok
Exploration Complete	探索完成	1	1	1.000	ok
Total Progress	总进度	1	1	1.000	noise
Enter Normal Dungeon	进入普通难度	1	1	1.000	ok
stage's Starter Buffs first.	您需要先对上一阶段的增益	1	1	1.000	ok
Don't purchase.	不进行购买。	1	1	1.000	ok
Move to Shop	跳转到商店	1	1	1.000	ok
Choose the expensive tonic.	选择昂贵的滋养强壮剂。	1	1	1.000	ok
Choose the energy drinks.	选择能量饮料。	1	1	1.000	ok
Heal Sinner	<size=90%>治疗罪人</size>	2	1	0.500	suspect
Pay a moderate price.	付一笔合适的费用。	1	1	1.000	ok
Pay a large sum.	付一大笔费用。	1	1	1.000	ok
Pay a tremendous price.	付一笔极其昂贵的费用。	1	1	1.000	ok
Select Event Effect	选择事件效果	1	1	1.000	ok
Half a Step More	再进半步	1	1	1.000	ok
Focusing Vulnerabilities	弱点专注	1	1	1.000	ok
Glimpse of Earnestness	窥见决心	1	1	1.000	ok
Autogenic	自体再生	1	1	1.000	ok
Just One Pocket	多带一袋	1	1	1.000	ok
Fortuitous Find	偶然所得	1	1	1.000	ok
Distinct Pocket	再带一袋	1	1	1.000	ok
Solid Defense	固若金汤	2	1	0.500	suspect
Quick Legs	快步前行	1	1	1.000	ok
Fleet-footed	飞毛腿	1	1	1.000	ok
Grazing Attack	小小擦伤	1	1	1.000	ok
Thick Rumbling Hum	震音作响的空间	1	1	1.000	ok
Dense Quietness	一片寂静的空间	1	1	1.000	ok
E.G.O Gift Info	E.G.O饰品信息	1	1	1.000	ok
Choose the Sinner that looks tired.	选择看上去疲倦的罪人。	2	2	1.000	ok
Give Up Rewards	放弃奖励	1	1	1.000	ok
Cancel All Selected	取消全部所选	1	1	1.000	ok
Refuse Gift	拒绝饰品	1	1	1.000	ok
Continue without choosing an E.G.O Gift?	确定不选择E.G.O饰品，直接继续吗？	2	1	0.500	suspect
A Journey's Start	旅程伊始	1	1	1.000	ok
Fruits of Labor	劳动果实	1	1	1.000	ok
Worthy Prize	丰硕成果	1	1	1.000	ok
More the Better	多多益善	1	1	1.000	ok
Established Trust	稳固信任	1	1	1.000	ok
Fame and Feats	丰功伟绩	1	1	1.000	ok
Tier 3 Gift Appearance	出现3级饰品	1	1	1.000	ok
Gain +50 Starting Cost	获得50点初始经费	5	2	0.400	suspect
Introduce 3 new Gifts	追加出现3款饰品	1	1	1.000	ok
Cheaper Enhancement Cost	强化所需经费减少	1	1	1.000	ok
Gain more Cost from selling Gifts	售卖饰品可获得的经费增加	2	2	1.000	ok
Cheaper Gift Purchase Cost	购买饰品所需经费减少	1	1	1.000	ok
E.G.O Gift Selection +1	可选择E.G.O饰品数量+1	2	2	1.000	ok
Starting Cost +250	初始经费+250	2	2	1.000	ok
