# pattern	count	en_example	cn_example
Ishmael’s E.G.O Gear	9	Ishmael’s E.G.O Gear	以实玛利的专用E.G.O装备
Gregor’s E.G.O Gear	9	Gregor’s E.G.O Gear	格里高尔的专用E.G.O装备
Dawn Ordeal - Swarm Movement Prep <N>	9	Dawn Ordeal - Swarm Movement Prep 1	黎明考验 - 群体移动准备1
BongBong <TAG> Body	9	BongBong [Orange] Body	噗扭扭[橙子味] 躯干
Event Currency Guide	9	Event Currency Guide	活动道具介绍
Formerly the youngest chief researcher at the <TAG> Wing, this Sinner possesses higher intelligence compared to most others. We estimate that everyday conversation with this Sinner will prove difficult for managers selected by our current screening process. Avoiding communication altogether will pose a risk on its own, however. If the Sinner remains silent for a long time, that means he is currently processing a line of deliberate thought; we recommend waiting patiently for him	9	Formerly the youngest chief researcher at the [REDACTED] Wing,
this Sinner possesses higher intelligence compared to most others.
We estimate that eve	该罪人曾是[已编辑]翼中最年轻的首席研究员，
相较于其他罪人，其拥有更为出众的智力。
对于我们所选择的经理而言，与之进行日常交流或略显困难，
尽管如此，过于明显地规避交流也会留下不稳定因素。
该罪人偶尔会保持长时间的沉默，这是因为他正在脑海中进行一系列的思考；
在这种情况下，我们建议您耐心等待。
The Sinner who developed the engine of Mephistopheles, the bus operated by Limbus Company. She claims that there is no one in the City who could rival her library of knowledge and wisdom, and she isn't necessarily wrong. You might find her high and mighty attitude when she allows you to converse with her displeasing, but as seen with how she treats everyone with subtle gestures of arrogance, there is no hope of her parting with it, ever. We recommend simply nodding once and getting over it. Even though she has an unparalleled genius, we can't quite figure out how to use this one. Perhaps you could be the one to find out	9	The Sinner who developed the engine of Mephistopheles, the bus operated by Limbus Company.
She claims that there is no one in the City who could rival	该罪人开发了边狱公司的巴士——梅菲斯托费勒斯的引擎。
她声称在都市中，没有人能在智慧层面上与她相媲美，这话未必就是错的。
也许在和经理您交谈的时候，您会发现她的态度高高在上，而这样的态度也许会败坏您的心情。
由于该罪人举止傲慢，仿佛不在乎任何人，让她有所改善的可能性几乎为零。
我们建议您只要应付一下
Wants clear and concise commands, requiring no judgement on his part	9	Wants clear and concise commands, requiring no judgement on his part.	倾向于明确且简洁的指令，即不留下个人判断余地的命令。
This Sinner is relatively easy to handle in terms of personality. However, an upsurge of emotion or a sudden change of environment may cause parts or the whole of his body to transform into insectile (notably akin to a carapace, resembling that of the _________) tissues. If you do not wish to be a rude manager (not that you're obligated to be nice), we recommend keeping your facial expression in check so that your disgust is not visible to him. He sometimes uses cynical language, but he can still be reasoned with, and you can get around him without much difficulty as long as you learn the knack of it	9	This Sinner is relatively easy to handle in terms of personality.
However, an upsurge of emotion or a sudden change of environment
may cause parts or 	与其他罪人相比，该罪人的性格更好相处。
然而，随着情绪激动或者环境急剧变化，
其身体的部分、有时甚至全身都可能会变化成类似昆虫（某种鞘翅目，类似于■■■■）的结构。
如果您不希望被视为一位粗俗的经理（您不应如此），
我们建议您谨慎地管理自己的表情，尽量避免流露出厌恶的情绪。
尽管该罪人偶尔会说些愤世
Yield My Flesh to Claim Their Bones	9	Yield My Flesh to Claim Their Bones	肉斩骨断
Pilgrimage of Compassion	9	Pilgrimage of Compassion	善意的巡礼
Lobotomy Corp. Remnant	9	Lobotomy Corp. Remnant	脑叶公司
幸存者
Line <N> Boarding	9	Line 1 Boarding	进入1号线前
<TAG> Inflict <N> Defense Level Down	9	[OnSucceedAttack] Inflict 2 Defense Level Down	[OnSucceedAttack] 对目标施加2层防御等级降低 
Spend <N> Ammo	9	Spend 1 Ammo	消耗1发弹药 
<TAG> Inflict <N> Damage Down next turn	9	[OnSucceedAttack] Inflict 2 Damage Down next turn	[OnSucceedAttack] 下回合对目标施加2层伤害弱化 
<TAG> Inflict <N> Poison	9	[OnSucceedAttack] Inflict 3 Poison	[OnSucceedAttack] 对目标施加3层剧毒 
<TAG> If target has <TAG>, gain <N> <TAG> next turn	9	[OnSucceedAttack] If target has [BurstAgility], gain 1 [Agility] next turn	[OnSucceedAttack] 若目标带有[BurstAgility]，则下回合使自身获得1层[Agility]
<TAG> Trigger <TAG> twice; then, reduce target's <TAG> Count by <N>	9	[UnBrokenCoinOnSucceedAttack] Trigger [VibrationExplosion] twice; then, reduce target's [Vibration] Count by 2	[UnBrokenCoinOnSucceedAttack] 使目标[VibrationExplosion]2次，并使其[Vibration]层数减少2层
<TAG> Reuse this Coin (<N> times max)	9	[OnSucceedAttack] <color=#ff6000><mark=#ff000040><b><u>Reuse this Coin (7 times max)</u></b></mark></color>	[OnSucceedAttack] <color=#ff6000><mark=#ff000040><b><u>重复使用本硬币(最多7次)</u></b></mark></color>
<TAG> Take <N> damage	9	[DefeatDuel] Take 20 damage	[DefeatDuel] 对自身造成20点伤害
<TAG> Inflict +<N> Rupture Count next turn	9	[OnSucceedAttack] Inflict +6 Rupture Count next turn	[OnSucceedAttack] 下回合对目标施加6层破裂 
I'll Have This	9	I'll Have This!	这个我吃了！
<TAG> Gain <N> <TAG> and <N> <TAG>	9	[StartBattle] Gain 3 [AttackDmgUp] and 2 [Vulnerable]	[StartBattle] 使自身获得3层[AttackDmgUp]并对自身施加2层[Vulnerable]
<TAG> Inflict <N> <TAG>(The Departed)	9	[OnSucceedAttack] Inflict 2 [SinkingWhite](The Departed)<style="highlight"></style>	[OnSucceedAttack] 对目标施加2层[SinkingWhite](亡蝶)<style="highlight"></style>
<TAG> Inflict <N> <TAG>(The Living)	9	[OnSucceedAttack] Inflict 2 [SinkingWhite](The Living)<style="highlight"></style>	[OnSucceedAttack] 使目标增加2级[SinkingWhite]强度(生蝶)<style="highlight"></style>
<TAG> The final Coin gains Final Power +<N> (once per Coin)	9	[CriticalOnSucceedAttack] The final Coin gains Final Power +2 (once per Coin)	[CriticalOnSucceedAttack] 使本技能最后一枚硬币的最终威力+2(每个硬币最多1次)
<TAG> Deal Pride damage by <N>% of the damage dealt (max <N>)	9	[OnSucceedAttack] Deal Pride damage by 25% of the damage dealt (max 25)<style="highlight"></style>	[OnSucceedAttack] 对目标额外造成本硬币伤害量25%的傲慢伤害(最多25点)<style="highlight"></style>
<TAG> Inflict +<N> <TAG> Count (<N> times per turn)	9	[OnSucceedEvade] Inflict +2 [Burst] Count (2 times per turn)	[OnSucceedEvade] 对目标施加2层[Burst](每回合最多2次)
<TAG> If target has Bleed, deal <N>% of damage dealt as bonus damage	9	[OnSucceedAttack] If target has Bleed, deal 10% of damage dealt as bonus damage	[OnSucceedAttack] 若目标带有流血 ，则对其额外造成本硬币伤害量10%的伤害
Coin Power +<N> for every <N> <TAG> on target (Max <N>)	9	Coin Power +1 for every 3 [Vibration] on target (Max 2)	目标每带有3级[Vibration]强度，使本技能的硬币威力+1(最多+2)
Wicked Tax Collector	9	Wicked Tax Collector	缺德的税费掠夺者
Evaluation Arena 1F	9	Evaluation Arena 1F	评审场内部 1层
Training Team Sephirah	9	Training Team Sephirah	培训部 Sephirah
Daguanyuan Training Grounds	9	Daguanyuan Training Grounds	大观园 演武场
The Index Proxy	9	The Index Proxy	食指 代行者
Dependable Section Director	9	Dependable Section Director	可靠的科长
Bloodfiend holding a Parasol	9	Bloodfiend holding a Parasol	<size=90%>手持阳伞的血魔</size>
LCE Research Team Security Unit	9	LCE Research Team Security Unit	LCE研究组 安保楼
Ryōshū and Araya's Room, Past	9	Ryōshū and Araya's Room, Past	过去，良秀与阿赖耶的房间
You can redeem various rewards from the <TAG> based on the number of <TAG> you have	9	You can redeem various rewards from the [Coupon Trade-in] based on the number of [Bongy Plushies] you have.	您可以在[奖券兑换处]根据所持有的[小凤玩偶]数量兑换多样化奖励。
Rarely, you may obtain <TAG> from clearing Encounters. <TAG> is automatically converted to <N> <TAG> upon acquisition	9	Rarely, you may obtain [Resentful Scabbard] from clearing Encounters.

[Resentful Scabbard] is automatically converted to 20 [Bloodied Scabbard] upon 	战斗胜利后，有低概率获得[寄宿怨恨的剑鞘]。

[寄宿怨恨的剑鞘]将会自动转换为20个染血剑鞘。
Clear Canto <N>	9	Clear Canto 1	通过主线剧情第1章
The Time Ripper	8	The Time Ripper	时间杀人魔
…<TAG>. This is why you put me in charge of the observation? Did you know this crap would happen and… Yeah, no. There's no way you could have… None of us could, this was our first time. Gah… When I blew that golden apple up, it split open. Then some <TAG>ed branches popped out of the crack, and… That thing, that bastard… It took Yuri… And with that new nutrient, a swarm of maggots piled up inside… "Metamorphosing" into a hideous face. Haha, funny, isn't it. I was feeling a sense of kinship with that crawler. I guess it's because we were both pests… Realizing that, I just couldn't stay calm. I had to tear that detestable face apart to find peace. And then, and then... → Gregor was struggling to maintain his cool in his writing, so I relieved him of his pen. He didn't have much else to offer in terms of information, anyway. → Those maggots squirmed harder than I expected when I scorched 'em with my cigarette. Does this count as intel	8	…[What appears to be foul words are scribbled out.]. This is why you put me in charge of the observation?
Did you know this crap would happen and…
Yea	……[此处似乎写了句粗口]。这就是你让我来负责观察日志的原因？
你明知道会发生这种逼事……？
不，也是。你不可能料到……
因为我们都是第一次见到。
哈……把那个金色的苹果劈开后，从裂口能看到它的内部。
然后有一些[此处似乎写了句粗口]树枝从它分裂的地方弹出来……然后……那个混账东西它……
把尤莉小姐
Man, that was tiring. It kept healing itself or whatever, it just wouldn't fall after we sliced, tore, smashed, and did all kinds of damage to it. Fighting it was pretty simple... Well, it's not like all of us got out unscathed, though. What it does is run into us for a body slam. Not too hard to deal with once you're used to it. I think I get its schtick after fighting it a few times. You see, it's got a golden aura floating around it, yeah? But the aura was gone after the apple recovered several times. Maybe that's its threshold of regeneration. I'll let manager bud know about this. It might be what helps end this tedious struggle	8	Man, that was tiring.
It kept healing itself or whatever, it just wouldn't fall after we sliced, tore, smashed, and did all kinds of damage to it.
Fig	真是累死个人。
那东西一直在治疗自己，不管是切开，碾碎还是彻底破坏，试了各种方法都没用，可让我们吃了不少苦头。
单是和它战斗其实挺简单的……虽然我们还是有人受伤。它只会用它的身体向我们冲撞，只要习惯了这种攻击方式，处理起来也不难。
在和它战斗几次之后，我貌似发现了它的特点。你看啊，在它的周围飘着一些
Last time I wrote an observation log, I was a kid, so I'm not sure if I'm up to this, but... I guess orders are orders. So, uhh... Start with describing its appearance? Hm, alright. That was an apple. A huge, grotesque apple with limbs. Personally speaking, doesn't it freak you out when a food item gets all massive or starts walking on its own? Is it just me? I went off-topic there. Anyway, that apple was golden. Definitely not something out of your average orchard. Mmm, right. It's what you call an Abnormality, yeah? Then yeah, that apple Abnormality was strutting all by itself. So I... I was getting a growing urge to chop that apple. It was almost magnetic. Hard to explain. ...Well, you won't find a lot of people who hate apples as much as I do. I guess that's on my unusual past. We decided to fall back for now since we had too little intel to try and fight. We'll probably take on it at some point, so I'll write down more when that time comes. → How disorganized. Were your reports as terrible during your military service? → Vergilius instructed us to write these however we wanted. Dante agreed with that, too. → …If Executive Manager is fine with it, I won't object. → <TAG> S.P.C. → Seriously, some petty complaint that was	8	Last time I wrote an observation log, I was a kid, so I'm not sure if I'm up to this, but...
I guess orders are orders.
So, uhh... Start with describi	自打我成年以来就再也没写过观察日志了，所以不知道能不能写好……
但，毕竟是命令。
那……总之先从描述外貌开始？
嗯，好吧。首先那是一个苹果。
一个巨大的……长着手脚的瘆人的苹果。
说真的，难道你不觉得某种食物变得十分巨大或者自己长腿跑是一件很恶心的事情吗？难道只有我这么觉得？
噢，我跑题了。不管怎么
Headchicken a.k.a. Bongy	8	Headchicken a.k.a. Bongy	猎头鸡 a.k.a. 小凤
Gain a Keywordless E.G.O Gift depending on the result of the following choice	8	Gain a Keywordless E.G.O Gift depending on the result of the following choice	选择后，根据后续选项获得1件泛用E.G.O饰品
Hard Difficulty Tribulation	8	Hard Difficulty Tribulation	困难难度苦难
Shin (心) - Tiantui Star <TAG>	8	Shin (心) - Tiantui Star [天退星]	心-天退星
Base Offense Level -<N> Base Defense Level -<N>	8	Base Offense Level -10
Base Defense Level -10	基础攻击等级-10，基础防御等级-10
Stage <N> Afterimage Entanglement	8	Stage 4 Afterimage Entanglement	残像纠缠4阶段
Viewing the Tableau	8	Viewing the Tableau	眺望
- Base Offense Level +<N> - Base Defense Level +<N>	8	- Base Offense Level +15
- Base Defense Level +15	- 基础攻击等级+15
- 基础防御等级+15
Night Drifter of the Drunken Palm	8	Night Drifter of the Drunken Palm	醉手夜客
Mauled Color <TAG>	8	Mauled Color [Rouge]	被撕裂的色彩[红色]
Training Team Captain	8	Training Team Captain	培训部队长
Defense Level Up	8	Defense Level Up	防御等级提升
Max HP Up	8	Max HP Up	体力上限提升
Clash Power +<N>, Max HP +<N>%	8	Clash Power +2, Max HP +7.5%	拼点威力 +2，体力上限+7.5%
Plus Coin Power +<N>, Minus Coin Power -<N>, Offense Level +<N>, Defense Level +<N>, Max HP +<N>%, Damage Dealt +<N>%, Boss Max HP +<N>%	8	Plus Coin Power +1, Minus Coin Power -1, Offense Level +8, Defense Level +5, Max HP +40%, Damage Dealt +12.5%, Boss Max HP +30%	加算硬币威力+1，减算硬币威力-1，攻击等级+8，防御等级+5，体力上限+40%，造成的伤害+12.5%，头目遭遇战体力上限+30%
Deal and take +<N>% damage	8	Deal and take +10% damage	造成与受到的伤害+10%
에즈라 알라스 1스킬 <N>	8	에즈라 알라스 1스킬 1	以斯拉 阿拉斯 1技能 1
Sezionatura di Cervo	8	Sezionatura di Cervo!	解鹿！
(Lalulula lalulula hun)	8	(Lalulula lalulula hun)	（Lalulula lalulula hun）
Complete Suppression without any ally deaths	8	Complete Suppression without any ally deaths	全体友方单位存活的条件下完成镇压
Complete Suppression without any of the allies' SP dropping to -<N> SP	8	Complete Suppression without any of the allies' SP dropping to -45 SP	全体友方单位的理智值未降至-45的条件下完成镇压
Moving past the containers, we’re met with a chill air. The chunks of ice hint that we’re almost to the end	8	Moving past the containers, we’re met with a chill air. The chunks of ice hint that we’re almost to the end.	在经过集装箱时，周围空气变得愈发寒凉。大块的冰块提示着我们已经即将抵达旅途的终点。
Extraction Season <N> Regular Pass Level <N> Reward	8	Extraction
Season 1 Regular Pass Level 60 Reward	提取
第1赛季战斗通行证60级奖励
Inflict <TAG> Count	8	Inflict [Combustion] Count	施加[Conbustion]层数
Chains of Loyalty	8	Chains of Loyalty	忠义锁链
Gain <TAG> and <TAG> next turn	8	Gain [Agility] and [PenetrateDamageUp] next turn	下回合使自身获得[Agility]与[PenetrateDamageUp]
Yi Sang’s E.G.O Gear	8	Yi Sang’s E.G.O Gear	李箱的专用E.G.O装备
Ryōshū’s E.G.O Gear	8	Ryōshū’s E.G.O Gear	良秀的专用E.G.O装备
Meursault’s E.G.O Gear	8	Meursault’s E.G.O Gear	默尔索的专用E.G.O装备
Hong Lu’s E.G.O Gear	8	Hong Lu’s E.G.O Gear	鸿璐的专用E.G.O装备
Heathcliff’s E.G.O Gear	8	Heathcliff’s E.G.O Gear	希斯克利夫的专用E.G.O装备
Rodion’s E.G.O Gear	8	Rodion’s E.G.O Gear	罗佳的专用E.G.O装备
Sinclair’s E.G.O Gear	8	Sinclair’s E.G.O Gear	辛克莱的专用E.G.O装备
Outis’s E.G.O Gear	8	Outis’s E.G.O Gear	奥提斯的专用E.G.O装备
Fruit of Understanding	8	Fruit of Understanding	理解的果实
Target Extraction: Hong Lu	8	Target Extraction: Hong Lu	定向提取：鸿璐
This Sinner prefers to take action rather than wait for logic to dictate his course. His thoughts and feelings are blatantly visible in his demeanor, and he has no intention of hiding them; his brashness may cause headaches (or physical injury leading to a headache) in the process of forming a relationship. Please do note that this is not an indication of serious damage to the Sinner's thought process. If his fit of rage persists, please contact the human resources department. Once you realize that he is the type that tends to be simple-minded, you'll have an easier time handling him	8	This Sinner prefers to take action rather than wait for logic to dictate his course.
His thoughts and feelings are blatantly visible in his demeanor, 	该罪人比起理论思考更偏爱实际行动。
由于他丝毫不去掩饰自己的想法和感情，而是全部通过表情与话语加以表达，
经理在与其建立联系的过程中可能会引发头痛（或是受到物理意义上会引发头痛的外伤……）。
希望您谨记在该罪人的思维模式中并不存在深入思考这一项。
以防万一，如果出现长时间无法平息其愤怒的情况，请您联
You may be disheartened by the defective state of many of your Sinners, but do not worry; this Sinner is one of the few who can carry out most missions without much complaint. She is likely to make reasonable judgements, so it is a good idea to start conversations while looking her way if you're seeking sound advice. However, you mustn't forget: this Sinner has survived an absurd voyage in a far and wide body of water. Her patience may run deep, but once you take a wrong turn with her, it will be a difficult task to regain her trust	8	You may be disheartened by the defective state of many of your Sinners,
but do not worry; this Sinner is one of the few who can carry out most mission	身为经理，面对大多各有缺点的罪人，您或许会感到困惑和无力。
然而请放心，该罪人是能够不加抱怨地执行各种命令的少数罪人之一。
由于该罪人能做出合理的判断，因此若您想要寻求建议，
看向她并予以提问应当是一个好办法。
但请记住，她是从那片深远且广阔的水域中历经艰难旅途得以生还的罪人，
故而其忍耐力可以说是
The unfortunate traits of being Backstreets-born are apparent in this Sinner. She loves money, gambling, and betting—so it is advised to pay close attention to her as the manager. She tends to deflect orders with an unimpressive wink or a silly joke; we recommend taking a stern stance at times to remind her that you are her superior. Her mood may be down at irregular intervals. There is nothing you can do to aid her in that state, so we recommend waiting for it to pass	8	The unfortunate traits of being Backstreets-born are apparent in this Sinner.
She loves money, gambling, and betting—so it is advised to pay close att	该罪人明显展现出后巷出身所特有的缺陷。
她拜金且嗜赌，建议经理对其密切关注。
她倾向于用蹩脚的眨眼或玩笑来应付您的指示，
建议时常向其展现经理的威严。
该罪人会可能不定期地情绪低落，
在经理的立场上并不能为其提供帮助，因此静静等候才最有效率。
A special ticket with a mark on it. It can extract an Identity from a world of unlikely possibilities with certainty. The paper is fiercely beating and pulsing	8	A special ticket with a mark on it. It can extract an Identity from a world of unlikely possibilities with certainty. The paper is fiercely beating an	印有某种标记的特殊提取券。其能以十分的把握提取出存在于微小可能性的世界中的人格。纸片正激烈摇曳着、搏动着。
Murder on the WARP Express	8	Murder on the WARP Express	WARP快车谋杀案
LCB Regular Check-up	8	LCB Regular Check-up	LCB定期体检
E.G.O Gift Compendium	8	E.G.O Gift Compendium	E.G.O饰品图鉴
If at <N> Blooming Sin, enter Power-up state for this encounter	8	If at 4 Blooming Sin, enter Power-up state for this encounter	绽放的罪孽 层数为4时，在本场战斗中将变为强化状态
Dies when the Core of Sign of Roses is killed	8	Dies when the Core of Sign of Roses is killed	击杀玫瑰告示牌本体时阵亡
One may get lost and wander onto the wrong path, but willful defiance or deviation from the flow are forbidden by "it."	8	One may get lost and wander onto the wrong path, but willful defiance or deviation from the flow are forbidden by "it."	可以误入歧途，但逆着流向行事或是从中脱离，是被“它”所禁止的。
The One Who Shall Grip	8	The One Who Shall Grip	准执柄者
On Kill <N>	8	On Kill 1	击杀敌方 1
<TAG> Spend <N> Charge Count to inflict <N> Defense Level Down	8	[OnSucceedAttack] Spend 2 Charge Count to inflict 2 Defense Level Down	[OnSucceedAttack] 消耗2层充能 并对目标施加2层防御等级降低 
<TAG> Damage +<N>	8	[OnSucceedAttackHead] Damage +3	[OnSucceedAttackHead] 对目标额外造成3点伤害
<TAG> Inflict <N> Nails next turn	8	[OnSucceedAttack] Inflict 2 Nails next turn	[OnSucceedAttack] 下回合对目标施加2层尖钉 
<TAG> Inflict <TAG> next turn	8	[OnSucceedAttack] Inflict [MarkOfHeresy] next turn	[OnSucceedAttack] 下回合对目标施加凝视 
<TAG> Spend <N> Charge Count; Inflict +<N> Bleed Count	8	[OnSucceedAttack] Spend 3 Charge Count; Inflict +1 Bleed Count	[OnSucceedAttack] 消耗3层充能 ，并对目标施加1层流血 
<TAG> Core and Part both gain <N> HP	8	[OnSucceedAttackHead] Core and Part both gain 3 HP	[OnSucceedAttackHead] 使本体与部位恢复3点体力
<TAG> Gain <N> <TAG> and <N> <TAG> next turn	8	[WinDuel] Gain 1 [Enhancement] and 1 [AttackDmgUp] next turn	[WinDuel] 下回合使自身获得1层[Enhancement]与1层[AttackDmgUp]
<TAG> If target has <N>+ <TAG>, inflict <N> <TAG>	8	[OnSucceedAttack] If target has 4+ [GazeReplica], inflict 1 [GazeReplica]	[OnSucceedAttack] 若目标的[GazeReplica]层数不低于4层，则对其施加1层[GazeReplica]
Butcher - Ribs	8	Butcher - Ribs	屠宰-肋骨
<TAG> Inflict <TAG> equal to the number of Wrath Skills that the Ardor Blossom Moth will use this turn	8	[OnSucceedAttack] Inflict [Combustion] equal to the number of Wrath Skills that the Ardor Blossom Moth will use this turn	[OnSucceedAttack] 根据红焰蛾本回合使用的暴怒技能数，使目标增加相应的[Combustion]强度
<TAG> Raise the target's Stagger Threshold by <N>% of damage dealt	8	[UnBrokenCoinOnSucceedAttack] Raise the target's Stagger Threshold by 70% of damage dealt	[UnBrokenCoinOnSucceedAttack] 使目标的混乱阈值前移本硬币伤害量的70%
<TAG> Heal <N> SP (once per Skill)	8	[OnSucceedAttack] Heal 5 SP (once per Skill)	[OnSucceedAttack] 使自身恢复5点理智值(每个技能最多1次)
<TAG> Inflict <N> Tremor and +<N> Tremor Count	8	[OnSucceedAttack] Inflict 5 Tremor and +2 Tremor Count	[OnSucceedAttack] 使目标增加5级震颤 强度并对其施加2层震颤 
<TAG> Core heals <N> HP	8	[OnSucceedAttack] Core heals 10 HP	[OnSucceedAttack] 使本体恢复10点体力
<TAG> If target has less than <N> SP, Base Power +<N> <TAG> Gain <N> <TAG>	8	[WhenUse] If target has less than 0 SP, Base Power +2
[WhenUse] Gain 1 [Aggressive]	[WhenUse] 若目标的理智值低于0点，则使本技能的基础威力+2
[WhenUse] 使自身获得1层[Aggressive]
<TAG> If target has <N>+ <TAG> Count, inflict <N> <TAG>	8	[OnSucceedAttack] If target has 2+ [Laceration] Count, inflict 5 [Laceration]	[OnSucceedAttack] 若目标的[Laceration]层数不低于2层，则使其增加5级[Laceration]强度
<TAG> Deal +<N>% damage for every <TAG> on target (max <N>%)	8	[OnSucceedAttack] Deal +5% damage for every [Burst] on target (max 100%)	[OnSucceedAttack] 目标每带有1级[Burst]强度，使本硬币造成的伤害+5%(最多+100%)
The Queen of Hatred	8	The Queen of Hatred	憎恶皇后
<TAG> Gain <N> Poise next turn	8	[OnSucceedAttack] Gain 4 Poise next turn	[OnSucceedAttack] 下回合使自身增加4级呼吸法 强度
<TAG> Heal (<TAG> on target)% HP (max <N>%)	8	[OnSucceedAttack] Heal ([Laceration] on target)% HP (max 20%)	[OnSucceedAttack] 使自身恢复体力上限(目标的[Laceration]强度)%的体力(最多20%)
Prepare To Collect	8	Prepare To Collect	征收准备
<TAG> Inflict <N> Tremor next turn	8	[OnSucceedAttack] Inflict 1 Tremor next turn	[OnSucceedAttack] 下回合使目标增加1级震颤 强度
<TAG> Inflict +<N> Count of a random status, chosen from <TAG>, <TAG>, <TAG>, <TAG>, and <TAG>	8	[OnSucceedAttackHead] Inflict +2 Count of a random status, chosen from [Combustion], [Laceration], [Vibration], [Burst], and [Sinking]	[OnSucceedAttackHead] 对目标施加2层某1种随机效果，该效果可能为[Combustion]、[Laceration]、[Vibration]、[Burst]或[Sinking]
<TAG> Consume <N> <TAG> Count to gain Coin Power +<N>	8	[WhenUse] Consume 2 [Charge] Count to gain Coin Power +1<style="highlight"></style>	[WhenUse] 消耗自身2层[Charge]并使本技能的硬币威力+1<style="highlight"></style>
<TAG> Gain +<N> <TAG> to this Skill Slot next turn	8	[WhenUse] Gain +3 [Aggro] to this Skill Slot next turn	[WhenUse] 下回合使本技能对应行动槽的挑衅值 +3
At <N>+ Speed, deal +<N>% damage	8	At 10+ Speed, deal +30% damage<style="highlight"></style>	若自身的速度值不低于10，则使本硬币造成的伤害+30%<style="highlight"></style>
<TAG> Deal Slash damage equal to (<TAG> x <N>)% of this Coin's final damage	8	[CriticalOnSucceedAttack] Deal Slash damage equal to ([SojiRyoshuEchoPast] x 2)% of this Coin's final damage<style="highlight"></style>	[CriticalOnSucceedAttack] 对目标造成本硬币最终伤害量(自身的[SojiRyoshuEchoPast]层数×2)%的斩击伤害<style="highlight"></style>
<TAG> If this unit has <TAG>, Reuse Coin once (once per Skill)	8	[OnSucceedAttack] If this unit has [EngageToBattle], Reuse Coin once (once per Skill)<style="highlight"></style>	[OnSucceedAttack] 若自身带有[EngageToBattle]，则重复使用本硬币1次(每个技能最多1次)<style="highlight"></style>
The Dead Rabbits	8	The Dead Rabbits	死兔帮
Have You Become Strong	8	Have You Become Strong	你变强了吗
Final Room of the Family Hierarch Evaluation	8	Final Room of the Family Hierarch Evaluation	家主评审 最终房间
Daguanyuan - Aojingguan Banquet Hall	8	Daguanyuan - Aojingguan Banquet Hall	大观园 凹晶馆 宴会厅
Distorted Butter Street, District <N>	8	Distorted Butter Street, District 14	14区，扭曲的黄油街
Daguanyuan Sparring Grounds	8	Daguanyuan Sparring Grounds	大观园 公认武斗对练场
Right State Councilor	8	Right State Councilor	右议政
Fixer from the South	8	Fixer from the South	南部收尾人
P Corp. Staff	8	P Corp. Staff	P公司 员工
Nest K - LC Branch Interior	8	Nest K - LC Branch Interior	K巢 脑叶公司支部内某处
Öufi? The Ring	8	Öufi? The Ring?	Öufi？环指？
Wuthering Heights Laboratory	8	Wuthering Heights Laboratory	呼啸山庄 实验室
Bloodfiend with a Parasol	8	Bloodfiend with a Parasol	<size=90%>手持阳伞的血魔</size>
Corridor of the Index, Past	8	Corridor of the Index, Past	过去，食指的走廊
As they say, every person has their own creed—and it’s only right to respect it as the Executive Manager. But with some creeds, you will have difficulty in even simply pretending to sympathize. You will have noticed that the sinner in question is a silent chain-smoker whose eyes shine with a euphoric gleam only during battle. She believes that senselessly destroying the enemy's heads is an uncultured act and a step backward for art. CAUTION: This sinner's background is one that even our company may have trouble handling; it is advised against making her breed personal resentment towards you	8	As they say, every person has their own creed—and it’s only right to respect it as the Executive Manager. But with some creeds, you will have difficul	虽说每一位罪人都有其独特的信条，而尊重这些信条是经理应尽的义务。但……某些信条实在是令人费解。虽然该罪人平日里只是在一边默默抽着烟，唯有战斗时，她的眼中才会迸发出愉悦的神采。她认为只是在战斗中无谋地打碎对方的脑袋，是粗俗的行为，更是对艺术的亵渎。[警告]-由于该罪人有着我司也难以应对的背景，请尽量不
A Sinner who had lived an affluent life before becoming our company's asset. As such, he has a certain admiration for a free life; but occasionally, he may make ignorant and unsavory questions in regards to the food cooked by a certain other Sinner or other aspects of the low-lives' lowly culture. This can cause significant irritation for the other sinners. However, it is important to note that no sarcastic undertones are contained in his curiosity-driven inquiries, so it is ill-advised to let them get physical over it	8	A Sinner who had lived an affluent life before becoming our company's asset. As such, he has a certain admiration for a free life; but occasionally, h	该罪人在成为我司的资产前过着富足的生活。因此，虽然他对自由有所向往，但也偶尔会在见到其他罪人制作的食物时显露出对底层文化的无知，并提出触碰其他罪人雷区的冒犯性问题。不过，由于其提问并非出于讽刺，而仅仅是纯粹的好奇使然，让罪人们为此大动干戈并非合适的解决方法。
Even with the volatile nature of human growth around his age taken into consideration, this Sinner seems to get particularly startled or frown when spoken to. He isn't used to real combat at the moment, meaning that he may struggle to keep himself together at the sight of something as mild as spilt innards at first. As there may be those with violent tendencies among your crew, we recommend taking an approach focused on positive reinforcement with this sinner. He appears to possess a murderous gaze that he himself isn't aware of; this is a hopeful sign that he has the potential to grow into an expert of our company's profession with the right stimuli	8	Even with the volatile nature of human growth around his age taken into consideration, this Sinner seems to get particularly startled or frown when sp	即使考虑到该罪人处于不稳定的成长阶段，其与人交谈时仍常常紧皱眉头或表现出过度的惊讶。由于其尚不习惯战斗，因此最初可能甚至连内脏都不敢直视。鉴于罪人中不乏具有暴力倾向的人，因此我们建议经理在对待他时以鼓励为主，而不是惩罚。该罪人有时会释放杀气，尽管其本人并不自觉，但我司认为这表明其在我司业务范围内很有
